Sample Name	Well	Ct
B4	Sample28	28.58
B5	Sample29	28.26
B6	Sample30	25.15
B7	Sample31	25.49
B8	Sample32	30.62
B9	Sample33	30.57
B10	Sample34	28.5
B11	Sample35	35
B12	Sample36	27.47
B13	Sample37	24.1
B14	Sample38	27.44
B15	Sample39	29.06
B16	Sample40	30.65
C4	Sample52	28.77
C5	Sample53	28.16
C6	Sample54	25.17
C7	Sample55	25.47
C8	Sample56	30.64
C9	Sample57	30.53
C10	Sample58	28.5
C11	Sample59	35
C12	Sample60	27.62
C13	Sample61	24.09
C14	Sample62	27.45
C15	Sample63	28.92
C16	Sample64	30.51
D4	Sample76	28.58
D5	Sample77	28.19
D6	Sample78	25.22
D7	Sample79	25.45
D8	Sample80	30.66
D9	Sample81	30.48
D10	Sample82	28.48
D11	Sample83	35
D12	Sample84	27.63
D13	Sample85	24.07
D14	Sample86	27.34
D15	Sample87	28.73
D16	Sample88	30.61
F4	Sample124	28.66
F5	Sample125	28.18
F6	Sample126	25.61
F7	Sample127	25.93
F8	Sample128	30.82
F9	Sample129	30.8
F10	Sample130	28.72
F11	Sample131	35
F12	Sample132	27.63
F13	Sample133	24.15
F14	Sample134	27.69
F15	Sample135	29.47
F16	Sample136	30.53
G4	Sample148	28.77
G5	Sample149	28.12
G6	Sample150	25.56
G7	Sample151	25.98
G8	Sample152	30.81
G9	Sample153	30.33
G10	Sample154	28.69
G11	Sample155	35
G12	Sample156	27.61
G13	Sample157	24.15
G14	Sample158	27.65
G15	Sample159	28.93
G16	Sample160	30.57
H4	Sample172	28.68
H5	Sample173	28.2
H6	Sample174	25.48
H7	Sample175	25.89
H8	Sample176	30.68
H9	Sample177	30.59
H10	Sample178	28.76
H11	Sample179	35
H12	Sample180	27.68
H13	Sample181	24.17
H14	Sample182	27.47
H15	Sample183	28.9
H16	Sample184	30.55
J4	Sample220	27.46
J5	Sample221	26.93
J6	Sample222	25.28
J7	Sample223	25.92
J8	Sample224	29.11
J9	Sample225	28.82
J10	Sample226	27.72
J11	Sample227	35
J12	Sample228	26.88
J13	Sample229	35
J14	Sample230	26.63
J15	Sample231	27.91
J16	Sample232	30.24
K4	Sample244	27.32
K5	Sample245	26.91
K6	Sample246	25.28
K7	Sample247	25.92
K8	Sample248	28.99
K9	Sample249	28.67
K10	Sample250	27.63
K11	Sample251	35
K12	Sample252	26.92
K13	Sample253	35
K14	Sample254	26.65
K15	Sample255	27.79
K16	Sample256	30.14
L4	Sample268	27.38
L5	Sample269	26.93
L6	Sample270	25.33
L7	Sample271	25.97
L8	Sample272	28.93
L9	Sample273	28.66
L10	Sample274	27.66
L11	Sample275	35
L12	Sample276	26.9
L13	Sample277	35
L14	Sample278	26.55
L15	Sample279	27.79
L16	Sample280	30.17
M4	Sample292	27.69
M5	Sample293	27.18
M6	Sample294	25.67
M7	Sample295	26.31
M8	Sample296	29.84
M9	Sample297	28.97
M10	Sample298	28.02
M11	Sample299	35
M12	Sample300	28.53
M13	Sample301	35
M14	Sample302	27.1
M15	Sample303	28.78
M16	Sample304	30.75
N4	Sample316	27.24
N5	Sample317	27.1
N6	Sample318	25.53
N7	Sample319	26.24
N8	Sample320	29.73
N9	Sample321	28.98
N10	Sample322	27.97
N11	Sample323	35
N12	Sample324	27.34
N13	Sample325	35
N14	Sample326	27.24
N15	Sample327	28.69
N16	Sample328	30.77
O4	Sample340	27.53
O5	Sample341	27.02
O6	Sample342	25.48
O7	Sample343	26.21
O8	Sample344	29.68
O9	Sample345	29.03
O10	Sample346	27.99
O11	Sample347	35
O12	Sample348	27.24
O13	Sample349	35
O14	Sample350	27.17
O15	Sample351	28.7
O16	Sample352	30.77
