Include	Pos	Name	Cp	Concentration	Standard	Status
True	A1	Sample 1			0	
True	A2	Sample 2			0	
True	A3	Sample 3			0	
True	A4	Sample 4			0	
True	A5	Sample 5			0	
True	A6	Sample 6			0	
True	A7	Sample 7			0	
True	A8	Sample 8			0	
True	A9	Sample 9			0	
True	A10	Sample 10			0	
True	A11	Sample 11			0	
True	A12	Sample 12			0	
True	A13	Sample 13			0	
True	A14	Sample 14			0	
True	A15	Sample 15			0	
True	A16	Sample 16			0	
True	A17	Sample 17			0	
True	A18	Sample 18			0	
True	A19	Sample 19			0	
True	A20	Sample 20			0	
True	A21	Sample 21			0	
True	A22	Sample 22			0	
True	A23	Sample 23			0	
True	A24	Sample 24			0	
True	B1	Sample 25			0	
True	B2	Sample 26			0	
True	B3	Sample 27			0	
True	B4	Sample 28	28.58		0	
True	B5	Sample 29	28.26		0	
True	B6	Sample 30	25.15		0	
True	B7	Sample 31	25.49		0	
True	B8	Sample 32	30.62		0	
True	B9	Sample 33	30.57		0	
True	B10	Sample 34	28.50		0	
True	B11	Sample 35	35.00		0	> - Late Cp call (last five cycles) has higher uncertainty
True	B12	Sample 36	27.47		0	
True	B13	Sample 37	24.10		0	
True	B14	Sample 38	27.44		0	
True	B15	Sample 39	29.06		0	
True	B16	Sample 40	30.65		0	
True	B17	Sample 41			0	
True	B18	Sample 42			0	
True	B19	Sample 43			0	
True	B20	Sample 44			0	
True	B21	Sample 45			0	
True	B22	Sample 46			0	
True	B23	Sample 47			0	
True	B24	Sample 48			0	
True	C1	Sample 49			0	
True	C2	Sample 50			0	
True	C3	Sample 51			0	
True	C4	Sample 52	28.77		0	
True	C5	Sample 53	28.16		0	
True	C6	Sample 54	25.17		0	
True	C7	Sample 55	25.47		0	
True	C8	Sample 56	30.64		0	
True	C9	Sample 57	30.53		0	
True	C10	Sample 58	28.50		0	
True	C11	Sample 59	35.00		0	> - Late Cp call (last five cycles) has higher uncertainty
True	C12	Sample 60	27.62		0	
True	C13	Sample 61	24.09		0	
True	C14	Sample 62	27.45		0	
True	C15	Sample 63	28.92		0	
True	C16	Sample 64	30.51		0	
True	C17	Sample 65			0	
True	C18	Sample 66			0	
True	C19	Sample 67			0	
True	C20	Sample 68			0	
True	C21	Sample 69			0	
True	C22	Sample 70			0	
True	C23	Sample 71			0	
True	C24	Sample 72			0	
True	D1	Sample 73			0	
True	D2	Sample 74			0	
True	D3	Sample 75			0	
True	D4	Sample 76	28.58		0	
True	D5	Sample 77	28.19		0	
True	D6	Sample 78	25.22		0	
True	D7	Sample 79	25.45		0	
True	D8	Sample 80	30.66		0	
True	D9	Sample 81	30.48		0	
True	D10	Sample 82	28.48		0	
True	D11	Sample 83	35.00		0	> - Late Cp call (last five cycles) has higher uncertainty
True	D12	Sample 84	27.63		0	
True	D13	Sample 85	24.07		0	
True	D14	Sample 86	27.34		0	
True	D15	Sample 87	28.73		0	
True	D16	Sample 88	30.61		0	
True	D17	Sample 89			0	
True	D18	Sample 90			0	
True	D19	Sample 91			0	
True	D20	Sample 92			0	
True	D21	Sample 93			0	
True	D22	Sample 94			0	
True	D23	Sample 95			0	
True	D24	Sample 96			0	
True	E1	Sample 97			0	
True	E2	Sample 98			0	
True	E3	Sample 99			0	
True	E4	Sample 100			0	
True	E5	Sample 101			0	
True	E6	Sample 102			0	
True	E7	Sample 103			0	
True	E8	Sample 104			0	
True	E9	Sample 105			0	
True	E10	Sample 106			0	
True	E11	Sample 107			0	
True	E12	Sample 108			0	
True	E13	Sample 109			0	
True	E14	Sample 110			0	
True	E15	Sample 111			0	
True	E16	Sample 112			0	
True	E17	Sample 113			0	
True	E18	Sample 114			0	
True	E19	Sample 115			0	
True	E20	Sample 116			0	
True	E21	Sample 117			0	
True	E22	Sample 118			0	
True	E23	Sample 119			0	
True	E24	Sample 120			0	
True	F1	Sample 121			0	
True	F2	Sample 122			0	
True	F3	Sample 123			0	
True	F4	Sample 124	28.66		0	
True	F5	Sample 125	28.18		0	
True	F6	Sample 126	25.61		0	
True	F7	Sample 127	25.93		0	
True	F8	Sample 128	30.82		0	
True	F9	Sample 129	30.80		0	
True	F10	Sample 130	28.72		0	
True	F11	Sample 131	35.00		0	> - Late Cp call (last five cycles) has higher uncertainty
True	F12	Sample 132	27.63		0	
True	F13	Sample 133	24.15		0	
True	F14	Sample 134	27.69		0	
True	F15	Sample 135	29.47		0	
True	F16	Sample 136	30.53		0	
True	F17	Sample 137			0	
True	F18	Sample 138			0	
True	F19	Sample 139			0	
True	F20	Sample 140			0	
True	F21	Sample 141			0	
True	F22	Sample 142			0	
True	F23	Sample 143			0	
True	F24	Sample 144			0	
True	G1	Sample 145			0	
True	G2	Sample 146			0	
True	G3	Sample 147			0	
True	G4	Sample 148	28.77		0	
True	G5	Sample 149	28.12		0	
True	G6	Sample 150	25.56		0	
True	G7	Sample 151	25.98		0	
True	G8	Sample 152	30.81		0	
True	G9	Sample 153	30.33		0	
True	G10	Sample 154	28.69		0	
True	G11	Sample 155	35.00		0	> - Late Cp call (last five cycles) has higher uncertainty
True	G12	Sample 156	27.61		0	
True	G13	Sample 157	24.15		0	
True	G14	Sample 158	27.65		0	
True	G15	Sample 159	28.93		0	
True	G16	Sample 160	30.57		0	
True	G17	Sample 161			0	
True	G18	Sample 162			0	
True	G19	Sample 163			0	
True	G20	Sample 164			0	
True	G21	Sample 165			0	
True	G22	Sample 166			0	
True	G23	Sample 167			0	
True	G24	Sample 168			0	
True	H1	Sample 169			0	
True	H2	Sample 170			0	
True	H3	Sample 171			0	
True	H4	Sample 172	28.68		0	
True	H5	Sample 173	28.20		0	
True	H6	Sample 174	25.48		0	
True	H7	Sample 175	25.89		0	
True	H8	Sample 176	30.68		0	
True	H9	Sample 177	30.59		0	
True	H10	Sample 178	28.76		0	
True	H11	Sample 179	35.00		0	> - Late Cp call (last five cycles) has higher uncertainty
True	H12	Sample 180	27.68		0	
True	H13	Sample 181	24.17		0	
True	H14	Sample 182	27.47		0	
True	H15	Sample 183	28.90		0	
True	H16	Sample 184	30.55		0	
True	H17	Sample 185			0	
True	H18	Sample 186			0	
True	H19	Sample 187			0	
True	H20	Sample 188			0	
True	H21	Sample 189			0	
True	H22	Sample 190			0	
True	H23	Sample 191			0	
True	H24	Sample 192			0	
True	I1	Sample 193			0	
True	I2	Sample 194			0	
True	I3	Sample 195			0	
True	I4	Sample 196			0	
True	I5	Sample 197			0	
True	I6	Sample 198			0	
True	I7	Sample 199			0	
True	I8	Sample 200			0	
True	I9	Sample 201			0	
True	I10	Sample 202			0	
True	I11	Sample 203			0	
True	I12	Sample 204			0	
True	I13	Sample 205			0	
True	I14	Sample 206			0	
True	I15	Sample 207			0	
True	I16	Sample 208			0	
True	I17	Sample 209			0	
True	I18	Sample 210			0	
True	I19	Sample 211			0	
True	I20	Sample 212			0	
True	I21	Sample 213			0	
True	I22	Sample 214			0	
True	I23	Sample 215			0	
True	I24	Sample 216			0	
True	J1	Sample 217			0	
True	J2	Sample 218			0	
True	J3	Sample 219			0	
True	J4	Sample 220	27.46		0	
True	J5	Sample 221	26.93		0	
True	J6	Sample 222	25.28		0	
True	J7	Sample 223	25.92		0	
True	J8	Sample 224	29.11		0	
True	J9	Sample 225	28.82		0	
True	J10	Sample 226	27.72		0	
True	J11	Sample 227	35.00		0	> - Late Cp call (last five cycles) has higher uncertainty
True	J12	Sample 228	26.88		0	
True	J13	Sample 229	35.00		0	> - Late Cp call (last five cycles) has higher uncertainty
True	J14	Sample 230	26.63		0	
True	J15	Sample 231	27.91		0	
True	J16	Sample 232	30.24		0	
True	J17	Sample 233			0	
True	J18	Sample 234			0	
True	J19	Sample 235			0	
True	J20	Sample 236			0	
True	J21	Sample 237			0	
True	J22	Sample 238			0	
True	J23	Sample 239			0	
True	J24	Sample 240			0	
True	K1	Sample 241			0	
True	K2	Sample 242			0	
True	K3	Sample 243			0	
True	K4	Sample 244	27.32		0	
True	K5	Sample 245	26.91		0	
True	K6	Sample 246	25.28		0	
True	K7	Sample 247	25.92		0	
True	K8	Sample 248	28.99		0	
True	K9	Sample 249	28.67		0	
True	K10	Sample 250	27.63		0	
True	K11	Sample 251	35.00		0	> - Late Cp call (last five cycles) has higher uncertainty
True	K12	Sample 252	26.92		0	
True	K13	Sample 253	35.00		0	> - Late Cp call (last five cycles) has higher uncertainty
True	K14	Sample 254	26.65		0	
True	K15	Sample 255	27.79		0	
True	K16	Sample 256	30.14		0	
True	K17	Sample 257			0	
True	K18	Sample 258			0	
True	K19	Sample 259			0	
True	K20	Sample 260			0	
True	K21	Sample 261			0	
True	K22	Sample 262			0	
True	K23	Sample 263			0	
True	K24	Sample 264			0	
True	L1	Sample 265			0	
True	L2	Sample 266			0	
True	L3	Sample 267			0	
True	L4	Sample 268	27.38		0	
True	L5	Sample 269	26.93		0	
True	L6	Sample 270	25.33		0	
True	L7	Sample 271	25.97		0	
True	L8	Sample 272	28.93		0	
True	L9	Sample 273	28.66		0	
True	L10	Sample 274	27.66		0	
True	L11	Sample 275	35.00		0	> - Late Cp call (last five cycles) has higher uncertainty
True	L12	Sample 276	26.90		0	
True	L13	Sample 277	35.00		0	> - Late Cp call (last five cycles) has higher uncertainty
True	L14	Sample 278	26.55		0	
True	L15	Sample 279	27.79		0	
True	L16	Sample 280	30.17		0	
True	L17	Sample 281			0	
True	L18	Sample 282			0	
True	L19	Sample 283			0	
True	L20	Sample 284			0	
True	L21	Sample 285			0	
True	L22	Sample 286			0	
True	L23	Sample 287			0	
True	L24	Sample 288			0	
True	M1	Sample 289			0	
True	M2	Sample 290			0	
True	M3	Sample 291			0	
True	M4	Sample 292	27.69		0	
True	M5	Sample 293	27.18		0	
True	M6	Sample 294	25.67		0	
True	M7	Sample 295	26.31		0	
True	M8	Sample 296	29.84		0	
True	M9	Sample 297	28.97		0	
True	M10	Sample 298	28.02		0	
True	M11	Sample 299	35.00		0	> - Late Cp call (last five cycles) has higher uncertainty
True	M12	Sample 300	28.53		0	
True	M13	Sample 301	35.00		0	> - Late Cp call (last five cycles) has higher uncertainty
True	M14	Sample 302	27.10		0	
True	M15	Sample 303	28.78		0	
True	M16	Sample 304	30.75		0	
True	M17	Sample 305			0	
True	M18	Sample 306			0	
True	M19	Sample 307			0	
True	M20	Sample 308			0	
True	M21	Sample 309			0	
True	M22	Sample 310			0	
True	M23	Sample 311			0	
True	M24	Sample 312			0	
True	N1	Sample 313			0	
True	N2	Sample 314			0	
True	N3	Sample 315			0	
True	N4	Sample 316	27.24		0	
True	N5	Sample 317	27.10		0	
True	N6	Sample 318	25.53		0	
True	N7	Sample 319	26.24		0	
True	N8	Sample 320	29.73		0	
True	N9	Sample 321	28.98		0	
True	N10	Sample 322	27.97		0	
True	N11	Sample 323	35.00		0	> - Late Cp call (last five cycles) has higher uncertainty
True	N12	Sample 324	27.34		0	
True	N13	Sample 325	35.00		0	> - Late Cp call (last five cycles) has higher uncertainty
True	N14	Sample 326	27.24		0	
True	N15	Sample 327	28.69		0	
True	N16	Sample 328	30.77		0	
True	N17	Sample 329			0	
True	N18	Sample 330			0	
True	N19	Sample 331			0	
True	N20	Sample 332			0	
True	N21	Sample 333			0	
True	N22	Sample 334			0	
True	N23	Sample 335			0	
True	N24	Sample 336			0	
True	O1	Sample 337			0	
True	O2	Sample 338			0	
True	O3	Sample 339			0	
True	O4	Sample 340	27.53		0	
True	O5	Sample 341	27.02		0	
True	O6	Sample 342	25.48		0	
True	O7	Sample 343	26.21		0	
True	O8	Sample 344	29.68		0	
True	O9	Sample 345	29.03		0	
True	O10	Sample 346	27.99		0	
True	O11	Sample 347	35.00		0	> - Late Cp call (last five cycles) has higher uncertainty
True	O12	Sample 348	27.24		0	
True	O13	Sample 349	35.00		0	> - Late Cp call (last five cycles) has higher uncertainty
True	O14	Sample 350	27.17		0	
True	O15	Sample 351	28.70		0	
True	O16	Sample 352	30.77		0	
True	O17	Sample 353			0	
True	O18	Sample 354			0	
True	O19	Sample 355			0	
True	O20	Sample 356			0	
True	O21	Sample 357			0	
True	O22	Sample 358			0	
True	O23	Sample 359			0	
True	O24	Sample 360			0	
True	P1	Sample 361			0	
True	P2	Sample 362			0	
True	P3	Sample 363			0	
True	P4	Sample 364			0	
True	P5	Sample 365			0	
True	P6	Sample 366			0	
True	P7	Sample 367			0	
True	P8	Sample 368			0	
True	P9	Sample 369			0	
True	P10	Sample 370			0	
True	P11	Sample 371			0	
True	P12	Sample 372			0	
True	P13	Sample 373			0	
True	P14	Sample 374			0	
True	P15	Sample 375			0	
True	P16	Sample 376			0	
True	P17	Sample 377			0	
True	P18	Sample 378			0	
True	P19	Sample 379			0	
True	P20	Sample 380			0	
True	P21	Sample 381			0	
True	P22	Sample 382			0	
True	P23	Sample 383			0	
True	P24	Sample 384			0	
