SDS 2.4	AQ Results	1.0
Filename	ISM mix primers WT
PlateID	
Assay Type	Absolute Quantification
Run DateTime	18.07.20 17:05:54
Operator	
ThermalCycleParams	

Sample Information

Well	Sample Name	Detector Name	Reporter	Task	Ct	Tm Value	Tm Type	Quantity	Qty Mean	Qty StdDev	Ct Median	Ct Mean	Ct StdDev	Ct Type	Template Name	Baseline Type	Baseline Start	Baseline Stop	Threshold Type	Threshold	FOS	HMD	LME	EW	BPR	NAW	HNS	HRN	EAF	BAF	TAF	CAF	
149	G5	SYBR	SYBR	Unknown	23.724733	87.9	Auto Tm							Automatic Ct		Automatic			Automatic	0.053925432													
150	G6	SYBR	SYBR	Unknown	18.62917	85.7	Auto Tm							Automatic Ct		Automatic			Automatic	0.053925432													
151	G7	SYBR	SYBR	Unknown	22.413496	84.1	Auto Tm							Automatic Ct		Automatic			Automatic	0.053925432													
152	G8	SYBR	SYBR	Unknown	27.174967	88.7	Auto Tm							Automatic Ct		Automatic			Automatic	0.053925432													
154	G10	SYBR	SYBR	Unknown	24.53548	86.5	Auto Tm							Automatic Ct		Automatic			Automatic	0.053925432													
155	G11	SYBR	SYBR	Unknown	28.007025	90.6	Auto Tm							Automatic Ct		Automatic			Automatic	0.053925432													
156	G12	SYBR	SYBR	Unknown	26.905142	85.4	Auto Tm							Automatic Ct		Automatic			Automatic	0.053925432							true						
157	G13	SYBR	SYBR	Unknown	22.159977	84.8	Auto Tm							Automatic Ct		Automatic			Automatic	0.053925432													
159	G15	SYBR	SYBR	Unknown	23.930878	87.2	Auto Tm							Automatic Ct		Automatic			Automatic	0.053925432													
160	G16	SYBR	SYBR	Unknown	26.453327	82.1	Auto Tm							Automatic Ct		Automatic			Automatic	0.053925432													
172	H4	SYBR	SYBR	Unknown	23.986141	87.1	Auto Tm							Automatic Ct		Automatic			Automatic	0.053925432													
173	H5	SYBR	SYBR	Unknown	23.542986	87.6	Auto Tm							Automatic Ct		Automatic			Automatic	0.053925432													
174	H6	SYBR	SYBR	Unknown	19.526373	86.2	Auto Tm							Automatic Ct		Automatic			Automatic	0.053925432													
175	H7	SYBR	SYBR	Unknown	22.22379	84.3	Auto Tm							Automatic Ct		Automatic			Automatic	0.053925432													
176	H8	SYBR	SYBR	Unknown	26.9409	89.5	Auto Tm							Automatic Ct		Automatic			Automatic	0.053925432													
179	H11	SYBR	SYBR	Unknown	27.761711	90.3	Auto Tm							Automatic Ct		Automatic			Automatic	0.053925432													
180	H12	SYBR	SYBR	Unknown	23.853992	85.4	Auto Tm							Automatic Ct		Automatic			Automatic	0.053925432													
181	H13	SYBR	SYBR	Unknown	22.234118	84.6	Auto Tm							Automatic Ct		Automatic			Automatic	0.053925432													
182	H14	SYBR	SYBR	Unknown	25.776617	86.2	Auto Tm							Automatic Ct		Automatic			Automatic	0.053925432													
183	H15	SYBR	SYBR	Unknown	24.230078	87.5	Auto Tm							Automatic Ct		Automatic			Automatic	0.053925432													
196	I4	SYBR	SYBR	Unknown	25.067139	87.1	Auto Tm							Automatic Ct		Automatic			Automatic	0.053925432													
197	I5	SYBR	SYBR	Unknown	23.706444	87.6	Auto Tm							Automatic Ct		Automatic			Automatic	0.053925432													
