SDS 2.4	AQ Results	1.0
Filename	20 07 2020 WT keio 4 identical RNA purification
PlateID	
Assay Type	Absolute Quantification
Run DateTime	20.07.20 14:58:19
Operator	
ThermalCycleParams	

Sample Information

Well	Sample Name	Detector Name	Reporter	Task	Ct	Tm Value	Tm Type	Quantity	Qty Mean	Qty StdDev	Ct Median	Ct Mean	Ct StdDev	Ct Type	Template Name	Baseline Type	Baseline Start	Baseline Stop	Threshold Type	Threshold	FOS	HMD	LME	EW	BPR	NAW	HNS	HRN	EAF	BAF	TAF	CAF	
28	B4	SYBR	SYBR	Unknown	21.903805	87.9	Auto Tm							Automatic Ct		Automatic			Automatic	0.11867291													
29	B5	SYBR	SYBR	Unknown	21.948454	62.1	Auto Tm							Automatic Ct		Automatic			Automatic	0.11867291													
30	B6	SYBR	SYBR	Unknown	16.820683	89.6	Auto Tm							Automatic Ct		Automatic			Automatic	0.11867291													
31	B7	SYBR	SYBR	Unknown	20.95666	86.5	Auto Tm							Automatic Ct		Automatic			Automatic	0.11867291													
32	B8	SYBR	SYBR	Unknown	25.069971	91.7	Auto Tm							Automatic Ct		Automatic			Automatic	0.11867291													
33	B9	SYBR	SYBR	Unknown	26.447752	89.0	Auto Tm							Automatic Ct		Automatic			Automatic	0.11867291													
34	B10	SYBR	SYBR	Unknown	23.16686	87.9	Auto Tm							Automatic Ct		Automatic			Automatic	0.11867291													
35	B11	SYBR	SYBR	Unknown	23.467594	91.4	Auto Tm							Automatic Ct		Automatic			Automatic	0.11867291													
36	B12	SYBR	SYBR	Unknown	20.075466	85.7	Auto Tm							Automatic Ct		Automatic			Automatic	0.11867291													
37	B13	SYBR	SYBR	Unknown	19.586515	85.1	Auto Tm							Automatic Ct		Automatic			Automatic	0.11867291													
38	B14	SYBR	SYBR	Unknown	24.65928	86.5	Auto Tm							Automatic Ct		Automatic			Automatic	0.11867291													
39	B15	SYBR	SYBR	Unknown	22.593113	87.8	Auto Tm							Automatic Ct		Automatic			Automatic	0.11867291													
40	B16	SYBR	SYBR	Unknown	21.394636	82.1	Auto Tm							Automatic Ct		Automatic			Automatic	0.11867291													
52	C4	SYBR	SYBR	Unknown	22.00018	87.4	Auto Tm							Automatic Ct		Automatic			Automatic	0.11867291													
