SDS 2.4	AQ Results	1.0
Filename	WT Keio OD 05 Primer mix 4 replica
PlateID	
Assay Type	Absolute Quantification
Run DateTime	1.08.20 15:13:57
Operator	
ThermalCycleParams	

Sample Information

Well	Sample Name	Detector Name	Reporter	Task	Ct	Tm Value	Tm Type	Quantity	Qty Mean	Qty StdDev	Ct Median	Ct Mean	Ct StdDev	Ct Type	Template Name	Baseline Type	Baseline Start	Baseline Stop	Threshold Type	Threshold	FOS	HMD	LME	EW	BPR	NAW	HNS	HRN	EAF	BAF	TAF	CAF	
100	E4	SYBR	SYBR	Unknown	21.078157	87.3	Auto Tm							Automatic Ct		Automatic			Automatic	0.028106883													
101	E5	SYBR	SYBR	Unknown	20.286644	88.1	Auto Tm							Automatic Ct		Automatic			Automatic	0.028106883													
102	E6	SYBR	SYBR	Unknown	16.068361	92.6	Auto Tm							Automatic Ct		Automatic			Automatic	0.028106883							true						
103	E7	SYBR	SYBR	Unknown	20.345205	84.6	Auto Tm							Automatic Ct		Automatic			Automatic	0.028106883													
104	E8	SYBR	SYBR	Unknown	25.311907	89.5	Auto Tm							Automatic Ct		Automatic			Automatic	0.028106883													
105	E9	SYBR	SYBR	Unknown	25.933508	87.8	Auto Tm							Automatic Ct		Automatic			Automatic	0.028106883													
106	E10	SYBR	SYBR	Unknown	23.13743	86.7	Auto Tm							Automatic Ct		Automatic			Automatic	0.028106883													
107	E11	SYBR	SYBR	Unknown	23.45545	90.9	Auto Tm							Automatic Ct		Automatic			Automatic	0.028106883													
108	E12	SYBR	SYBR	Unknown	17.931524	85.9	Auto Tm							Automatic Ct		Automatic			Automatic	0.028106883													
109	E13	SYBR	SYBR	Unknown	19.604614	85.1	Auto Tm							Automatic Ct		Automatic			Automatic	0.028106883													
110	E14	SYBR	SYBR	Unknown	22.602556	86.4	Auto Tm							Automatic Ct		Automatic			Automatic	0.028106883													
111	E15	SYBR	SYBR	Unknown	22.766062	87.8	Auto Tm							Automatic Ct		Automatic			Automatic	0.028106883													
112	E16	SYBR	SYBR	Unknown	21.166754	82.4	Auto Tm							Automatic Ct		Automatic			Automatic	0.028106883													
124	F4	SYBR	SYBR	Unknown	21.4737	87.3	Auto Tm							Automatic Ct		Automatic			Automatic	0.028106883													
125	F5	SYBR	SYBR	Unknown	20.187458	88.1	Auto Tm							Automatic Ct		Automatic			Automatic	0.028106883													
126	F6	SYBR	SYBR	Unknown	15.572888	86.8	Auto Tm							Automatic Ct		Automatic			Automatic	0.028106883													
127	F7	SYBR	SYBR	Unknown	20.070852	84.6	Auto Tm							Automatic Ct		Automatic			Automatic	0.028106883													
128	F8	SYBR	SYBR	Unknown	24.776266	89.5	Auto Tm							Automatic Ct		Automatic			Automatic	0.028106883													
129	F9	SYBR	SYBR	Unknown	25.645498	87.8	Auto Tm							Automatic Ct		Automatic			Automatic	0.028106883													
130	F10	SYBR	SYBR	Unknown	22.726883	86.7	Auto Tm							Automatic Ct		Automatic			Automatic	0.028106883													
131	F11	SYBR	SYBR	Unknown	23.44966	90.9	Auto Tm							Automatic Ct		Automatic			Automatic	0.028106883													
132	F12	SYBR	SYBR	Unknown	17.903704	85.6	Auto Tm							Automatic Ct		Automatic			Automatic	0.028106883													
133	F13	SYBR	SYBR	Unknown	19.500305	85.1	Auto Tm							Automatic Ct		Automatic			Automatic	0.028106883													
134	F14	SYBR	SYBR	Unknown	24.302126	86.4	Auto Tm							Automatic Ct		Automatic			Automatic	0.028106883													
135	F15	SYBR	SYBR	Unknown	21.99863	87.8	Auto Tm							Automatic Ct		Automatic			Automatic	0.028106883													
136	F16	SYBR	SYBR	Unknown	21.312046	82.4	Auto Tm							Automatic Ct		Automatic			Automatic	0.028106883													
148	G4	SYBR	SYBR	Unknown	20.670425	87.3	Auto Tm							Automatic Ct		Automatic			Automatic	0.028106883													
149	G5	SYBR	SYBR	Unknown	20.102097	88.1	Auto Tm							Automatic Ct		Automatic			Automatic	0.028106883													
150	G6	SYBR	SYBR	Unknown	15.082033	86.8	Auto Tm							Automatic Ct		Automatic			Automatic	0.028106883													
151	G7	SYBR	SYBR	Unknown	20.481411	84.6	Auto Tm							Automatic Ct		Automatic			Automatic	0.028106883													
152	G8	SYBR	SYBR	Unknown	25.091045	89.5	Auto Tm							Automatic Ct		Automatic			Automatic	0.028106883													
153	G9	SYBR	SYBR	Unknown	25.946125	87.8	Auto Tm							Automatic Ct		Automatic			Automatic	0.028106883													
154	G10	SYBR	SYBR	Unknown	22.915857	86.7	Auto Tm							Automatic Ct		Automatic			Automatic	0.028106883													
155	G11	SYBR	SYBR	Unknown	23.459345	90.9	Auto Tm							Automatic Ct		Automatic			Automatic	0.028106883													
156	G12	SYBR	SYBR	Unknown	18.209715	85.6	Auto Tm							Automatic Ct		Automatic			Automatic	0.028106883													
157	G13	SYBR	SYBR	Unknown	19.23438	85.1	Auto Tm							Automatic Ct		Automatic			Automatic	0.028106883													
158	G14	SYBR	SYBR	Unknown	24.34333	86.4	Auto Tm							Automatic Ct		Automatic			Automatic	0.028106883													
159	G15	SYBR	SYBR	Unknown	22.334837	87.8	Auto Tm							Automatic Ct		Automatic			Automatic	0.028106883													
160	G16	SYBR	SYBR	Unknown	21.370169	82.4	Auto Tm							Automatic Ct		Automatic			Automatic	0.028106883													
172	H4	SYBR	SYBR	Unknown	21.325844	87.3	Auto Tm							Automatic Ct		Automatic			Automatic	0.028106883													
173	H5	SYBR	SYBR	Unknown	20.436872	88.1	Auto Tm							Automatic Ct		Automatic			Automatic	0.028106883													
174	H6	SYBR	SYBR	Unknown	15.883745	86.8	Auto Tm							Automatic Ct		Automatic			Automatic	0.028106883													
175	H7	SYBR	SYBR	Unknown	20.512045	84.6	Auto Tm							Automatic Ct		Automatic			Automatic	0.028106883													
176	H8	SYBR	SYBR	Unknown	25.246788	89.5	Auto Tm							Automatic Ct		Automatic			Automatic	0.028106883													
177	H9	SYBR	SYBR	Unknown	26.238848	87.8	Auto Tm							Automatic Ct		Automatic			Automatic	0.028106883													
