SDS 2.4	AQ Results	1.0
Filename	WT Keio OD 05 Primer mix 4 replica
PlateID	
Assay Type	Absolute Quantification
Run DateTime	1.08.20 15:13:57
Operator	
ThermalCycleParams	

Sample Information

Well	Sample Name	Detector Name	Reporter	Task	Ct	Tm Value	Tm Type	Quantity	Qty Mean	Qty StdDev	Ct Median	Ct Mean	Ct StdDev	Ct Type	Template Name	Baseline Type	Baseline Start	Baseline Stop	Threshold Type	Threshold	FOS	HMD	LME	EW	BPR	NAW	HNS	HRN	EAF	BAF	TAF	CAF	
20	A20	SYBR	SYBR	Unknown	20.998158	87.2	Auto Tm							Automatic Ct		Automatic			Automatic	0.028106883													
21	A21	SYBR	SYBR	Unknown	21.049965	88.0	Auto Tm							Automatic Ct		Automatic			Automatic	0.028106883													
22	A22	SYBR	SYBR	Unknown	20.660824	88.0	Auto Tm							Automatic Ct		Automatic			Automatic	0.028106883													
23	A23	SYBR	SYBR	Unknown	21.229574	88.3	Auto Tm							Automatic Ct		Automatic			Automatic	0.028106883													
44	B20	SYBR	SYBR	Unknown	20.174635	90.2	Auto Tm							Automatic Ct		Automatic			Automatic	0.028106883													
45	B21	SYBR	SYBR	Unknown	20.504328	90.5	Auto Tm							Automatic Ct		Automatic			Automatic	0.028106883													
46	B22	SYBR	SYBR	Unknown	20.563848	90.5	Auto Tm							Automatic Ct		Automatic			Automatic	0.028106883													
47	B23	SYBR	SYBR	Unknown	Undetermined	61.9	Auto Tm							Automatic Ct		Automatic			Automatic	0.028106883						true			true				
68	C20	SYBR	SYBR	Unknown	15.141215	86.4	Auto Tm							Automatic Ct		Automatic			Automatic	0.028106883													
69	C21	SYBR	SYBR	Unknown	15.702138	86.4	Auto Tm							Automatic Ct		Automatic			Automatic	0.028106883													
70	C22	SYBR	SYBR	Unknown	15.671772	87.2	Auto Tm							Automatic Ct		Automatic			Automatic	0.028106883													
71	C23	SYBR	SYBR	Unknown	14.93056	88.8	Auto Tm							Automatic Ct		Automatic			Automatic	0.028106883													
92	D20	SYBR	SYBR	Unknown	19.348476	84.2	Auto Tm							Automatic Ct		Automatic			Automatic	0.028106883													
93	D21	SYBR	SYBR	Unknown	20.203346	84.2	Auto Tm							Automatic Ct		Automatic			Automatic	0.028106883													
94	D22	SYBR	SYBR	Unknown	20.054379	84.2	Auto Tm							Automatic Ct		Automatic			Automatic	0.028106883													
95	D23	SYBR	SYBR	Unknown	20.513868	85.8	Auto Tm							Automatic Ct		Automatic			Automatic	0.028106883													
