SDS 2.4	AQ Results	1.0
Filename	24 08 2020 ybeX minus
PlateID	
Assay Type	Absolute Quantification
Run DateTime	24.08.20 15:27:02
Operator	
ThermalCycleParams	

Sample Information

Well	Sample Name	Detector Name	Reporter	Task	Ct	Tm Value	Tm Type	Quantity	Qty Mean	Qty StdDev	Ct Median	Ct Mean	Ct StdDev	Ct Type	Template Name	Baseline Type	Baseline Start	Baseline Stop	Threshold Type	Threshold	FOS	HMD	LME	EW	BPR	NAW	HNS	HRN	EAF	BAF	TAF	CAF	
28	B4	SYBR	SYBR	Unknown	21.934662	62.0	Auto Tm							Automatic Ct		Automatic			Automatic	0.120600335						true							
29	B5	SYBR	SYBR	Unknown	21.486607	90.9	Auto Tm							Automatic Ct		Automatic			Automatic	0.120600335													
30	B6	SYBR	SYBR	Unknown	16.55948	89.0	Auto Tm							Automatic Ct		Automatic			Automatic	0.120600335													
31	B7	SYBR	SYBR	Unknown	22.195543	86.5	Auto Tm							Automatic Ct		Automatic			Automatic	0.120600335													
32	B8	SYBR	SYBR	Unknown	24.820017	91.4	Auto Tm							Automatic Ct		Automatic			Automatic	0.120600335													
33	B9	SYBR	SYBR	Unknown	25.35333	88.1	Auto Tm							Automatic Ct		Automatic			Automatic	0.120600335													
34	B10	SYBR	SYBR	Unknown	22.77799	87.0	Auto Tm							Automatic Ct		Automatic			Automatic	0.120600335													
35	B11	SYBR	SYBR	Unknown	22.247263	90.9	Auto Tm							Automatic Ct		Automatic			Automatic	0.120600335													
36	B12	SYBR	SYBR	Unknown	19.473083	85.6	Auto Tm							Automatic Ct		Automatic			Automatic	0.120600335													
37	B13	SYBR	SYBR	Unknown	32.99759	85.1	Auto Tm							Automatic Ct		Automatic			Automatic	0.120600335													
38	B14	SYBR	SYBR	Unknown	23.5715	86.4	Auto Tm							Automatic Ct		Automatic			Automatic	0.120600335													
39	B15	SYBR	SYBR	Unknown	20.293825	87.8	Auto Tm							Automatic Ct		Automatic			Automatic	0.120600335													
40	B16	SYBR	SYBR	Unknown	21.015545	83.1	Auto Tm							Automatic Ct		Automatic			Automatic	0.120600335													
