"Well","Strain","Detector Name","Reporter","Task","Ct","Tm Value","Tm Type","Ct Type","Baseline Type","Threshold Type","Threshold","SamP","Gene","Bacteria","Replika","Primer"
49,"Lnt2_WT_df1","SYBR","SYBR","Unknown",23.015432,85.5,"Auto Tm","Automatic Ct","Automatic","Automatic",0.063566335,"C1","lnt","WT","df1","Hexaprimer"
50,"Lnt_WT_df1","SYBR","SYBR","Unknown",NA,93.2,"Auto Tm","Automatic Ct","Automatic","Automatic",0.063566335,"C2","lnt","WT","df1","Hexaprimer"
51,"ybeY_WT_df1","SYBR","SYBR","Unknown",22,93.2,"Auto Tm","Automatic Ct","Automatic","Automatic",0.063566335,"C3","ybeY","WT","df1","Hexaprimer"
52,"ybeZ_WT_df1","SYBR","SYBR","Unknown",21.38899,89,"Auto Tm","Automatic Ct","Automatic","Automatic",0.063566335,"C4","ybeZ","WT","df1","Hexaprimer"
53,"ybeZY_WT_df1","SYBR","SYBR","Unknown",23.680353,81.4,"Auto Tm","Automatic Ct","Automatic","Automatic",0.063566335,"C5","ybeZY","WT","df1","Hexaprimer"
55,"Lnt2_WT_df2","SYBR","SYBR","Unknown",23.086323,85.7,"Auto Tm","Automatic Ct","Automatic","Automatic",0.063566335,"C7","lnt","WT","df2","Hexaprimer"
56,"Lnt_WT_df2","SYBR","SYBR","Unknown",25.18489,89.8,"Auto Tm","Automatic Ct","Automatic","Automatic",0.063566335,"C8","lnt","WT","df2","Hexaprimer"
57,"ybeY_WT_df2","SYBR","SYBR","Unknown",21.387346,85.4,"Auto Tm","Automatic Ct","Automatic","Automatic",0.063566335,"C9","ybeY","WT","df2","Hexaprimer"
58,"ybeZ_WT_df2","SYBR","SYBR","Unknown",21.77394,86.8,"Auto Tm","Automatic Ct","Automatic","Automatic",0.063566335,"C10","ybeZ","WT","df2","Hexaprimer"
59,"ybeZY_WT_df2","SYBR","SYBR","Unknown",23.531824,81.4,"Auto Tm","Automatic Ct","Automatic","Automatic",0.063566335,"C11","ybeZY","WT","df2","Hexaprimer"
61,"Lnt2_X_df1","SYBR","SYBR","Unknown",21.780378,86,"Auto Tm","Automatic Ct","Automatic","Automatic",0.063566335,"C13","lnt","ybeX","df1","Hexaprimer"
62,"Lnt_X_df1","SYBR","SYBR","Unknown",23.398376,89.8,"Auto Tm","Automatic Ct","Automatic","Automatic",0.063566335,"C14","lnt","ybeX","df1","Hexaprimer"
63,"ybeY_X_df1","SYBR","SYBR","Unknown",20.675562,85.4,"Auto Tm","Automatic Ct","Automatic","Automatic",0.063566335,"C15","ybeY","ybeX","df1","Hexaprimer"
64,"ybeZ_X_df1","SYBR","SYBR","Unknown",20.477207,87,"Auto Tm","Automatic Ct","Automatic","Automatic",0.063566335,"C16","ybeZ","ybeX","df1","Hexaprimer"
65,"ybeZY_X_df1","SYBR","SYBR","Unknown",22.741583,81.1,"Auto Tm","Automatic Ct","Automatic","Automatic",0.063566335,"C17","ybeZY","ybeX","df1","Hexaprimer"
67,"Lnt2_X_df2","SYBR","SYBR","Unknown",21.950619,85.6,"Auto Tm","Automatic Ct","Automatic","Automatic",0.063566335,"C19","lnt","ybeX","df2","Hexaprimer"
