"Well","Gene","Detector Name","Reporter","Task","Ct","TmValue","Tm Type","Ct Type","Baseline Type","Threshold Type","Threshold","Bacteria","TDate","SamP"
172,"CorA","SYBR","SYBR","Unknown",24.790329,87.1,"Auto Tm","Automatic Ct","Automatic","Automatic",0.058216408,"WT","2020-07-17","H4"
173,"cysG","SYBR","SYBR","Unknown",24.637844,87.6,"Auto Tm","Automatic Ct","Automatic","Automatic",0.058216408,"WT","2020-07-17","H5"
174,"frr","SYBR","SYBR","Unknown",22.317963,86.3,"Auto Tm","Automatic Ct","Automatic","Automatic",0.058216408,"WT","2020-07-17","H6"
175,"gyrA","SYBR","SYBR","Unknown",22.30332,84.1,"Auto Tm","Automatic Ct","Automatic","Automatic",0.058216408,"WT","2020-07-17","H7"
176,"hcaT","SYBR","SYBR","Unknown",26.591413,89,"Auto Tm","Automatic Ct","Automatic","Automatic",0.058216408,"WT","2020-07-17","H8"
177,"idnT","SYBR","SYBR","Unknown",27.62518,87.3,"Auto Tm","Automatic Ct","Automatic","Automatic",0.058216408,"WT","2020-07-17","H9"
178,"Lnt2","SYBR","SYBR","Unknown",23.636528,86.2,"Auto Tm","Automatic Ct","Automatic","Automatic",0.058216408,"WT","2020-07-17","H10"
179,"Lnt","SYBR","SYBR","Unknown",31.160397,90.3,"Auto Tm","Automatic Ct","Automatic","Automatic",0.058216408,"WT","2020-07-17","H11"
180,"miaB","SYBR","SYBR","Unknown",23.669653,85.1,"Auto Tm","Automatic Ct","Automatic","Automatic",0.058216408,"WT","2020-07-17","H12"
181,"ybeX","SYBR","SYBR","Unknown",21.105322,84.8,"Auto Tm","Automatic Ct","Automatic","Automatic",0.058216408,"WT","2020-07-17","H13"
182,"ybeY","SYBR","SYBR","Unknown",22.301544,85.9,"Auto Tm","Automatic Ct","Automatic","Automatic",0.058216408,"WT","2020-07-17","H14"
183,"ybeZ","SYBR","SYBR","Unknown",23.480984,87.3,"Auto Tm","Automatic Ct","Automatic","Automatic",0.058216408,"WT","2020-07-17","H15"
196,"CorA","SYBR","SYBR","Unknown",24.890844,86.8,"Auto Tm","Automatic Ct","Automatic","Automatic",0.058216408,"WT","2020-07-17","I4"
197,"cysG","SYBR","SYBR","Unknown",24.689102,87.6,"Auto Tm","Automatic Ct","Automatic","Automatic",0.058216408,"WT","2020-07-17","I5"
198,"frr","SYBR","SYBR","Unknown",22.511217,86.3,"Auto Tm","Automatic Ct","Automatic","Automatic",0.058216408,"WT","2020-07-17","I6"
199,"gyrA","SYBR","SYBR","Unknown",22.338596,84.1,"Auto Tm","Automatic Ct","Automatic","Automatic",0.058216408,"WT","2020-07-17","I7"
