"Well","Gene","Ct","TmValue","Bacteria","TDate","SamP","BioRep","PurifRep"
172,"CorA",24.790329,87.1,"WT","2020-07-17","H4","df1","rep1"
173,"cysG",24.637844,87.6,"WT","2020-07-17","H5","df1","rep1"
174,"frr",22.317963,86.3,"WT","2020-07-17","H6","df1","rep1"
175,"gyrA",22.30332,84.1,"WT","2020-07-17","H7","df1","rep1"
176,"hcaT",26.591413,89,"WT","2020-07-17","H8","df1","rep1"
177,"idnT",27.62518,87.3,"WT","2020-07-17","H9","df1","rep1"
178,"Lnt2",23.636528,86.2,"WT","2020-07-17","H10","df1","rep1"
179,"Lnt",31.160397,90.3,"WT","2020-07-17","H11","df1","rep1"
180,"miaB",23.669653,85.1,"WT","2020-07-17","H12","df1","rep1"
181,"ybeX",21.105322,84.8,"WT","2020-07-17","H13","df1","rep1"
182,"ybeY",22.301544,85.9,"WT","2020-07-17","H14","df1","rep1"
183,"ybeZ",23.480984,87.3,"WT","2020-07-17","H15","df1","rep1"
196,"CorA",24.890844,86.8,"WT","2020-07-17","I4","df1","rep1"
197,"cysG",24.689102,87.6,"WT","2020-07-17","I5","df1","rep1"
198,"frr",22.511217,86.3,"WT","2020-07-17","I6","df1","rep1"
199,"gyrA",22.338596,84.1,"WT","2020-07-17","I7","df1","rep1"
200,"hcaT",26.646477,89,"WT","2020-07-17","I8","df1","rep1"
201,"idnT",27.681408,87.6,"WT","2020-07-17","I9","df1","rep1"
202,"Lnt2",23.62553,86.2,"WT","2020-07-17","I10","df1","rep1"
203,"Lnt",30.805515,90.3,"WT","2020-07-17","I11","df1","rep1"
204,"miaB",23.72864,85.4,"WT","2020-07-17","I12","df1","rep1"
205,"ybeX",21.335226,84.8,"WT","2020-07-17","I13","df1","rep1"
206,"ybeY",22.125294,85.9,"WT","2020-07-17","I14","df1","rep1"
207,"ybeZ",23.296343,87.3,"WT","2020-07-17","I15","df1","rep1"
208,"ybeZY",24.383022,81.9,"WT","2020-07-17","I16","df1","rep1"
220,"CorA",24.719196,86.8,"WT","2020-07-17","J4","df1","rep1"
221,"cysG",24.516434,87.6,"WT","2020-07-17","J5","df1","rep1"
222,"frr",22.346743,86.3,"WT","2020-07-17","J6","df1","rep1"
223,"gyrA",22.216957,84.1,"WT","2020-07-17","J7","df1","rep1"
224,"hcaT",26.88098,89,"WT","2020-07-17","J8","df1","rep1"
225,"idnT",27.712082,87.3,"WT","2020-07-17","J9","df1","rep1"
226,"Lnt2",23.921528,86.2,"WT","2020-07-17","J10","df1","rep1"
227,"Lnt",31.349577,90.3,"WT","2020-07-17","J11","df1","rep1"
228,"miaB",23.903822,85.4,"WT","2020-07-17","J12","df1","rep1"
229,"ybeX",21.44593,84.8,"WT","2020-07-17","J13","df1","rep1"
230,"ybeY",22.265078,85.9,"WT","2020-07-17","J14","df1","rep1"
231,"ybeZ",23.424686,87.3,"WT","2020-07-17","J15","df1","rep1"
232,"ybeZY",24.583826,81.9,"WT","2020-07-17","J16","df1","rep1"
149,"cysG",23.724733,87.9,"WT","2020-07-18","G5","df1","rep1"
150,"frr",18.62917,85.7,"WT","2020-07-18","G6","df1","rep1"
151,"gyrA",22.413496,84.1,"WT","2020-07-18","G7","df1","rep1"
152,"hcaT",27.174967,88.7,"WT","2020-07-18","G8","df1","rep1"
154,"Lnt2",24.53548,86.5,"WT","2020-07-18","G10","df1","rep1"
155,"Lnt",28.007025,90.6,"WT","2020-07-18","G11","df1","rep1"
157,"ybeX",22.159977,84.8,"WT","2020-07-18","G13","df1","rep1"
